v,R,c,k,max_tilt,final_tilt,max_omega
5.0,91.42857142857143,30.0,3000.0,0.08872439618788466,0.07048847501464364,0.15366895727452268
5.0,91.42857142857143,30.0,3500.0,0.07620512909930852,0.018550053086167334,0.14257341966114018
5.0,91.42857142857143,52.5,1500.0,0.17078740548684007,0.06668405122363913,0.20915911259910813
5.0,91.42857142857143,52.5,2000.0,0.1291578636581907,0.09222418064446848,0.18270361130706908
5.0,91.42857142857143,52.5,2500.0,0.10392986810627428,0.03585007886016889,0.16435156225997943
5.0,91.42857142857143,52.5,3000.0,0.08699453089995951,0.0614712355273766,0.15069081489550715
5.0,91.42857142857143,52.5,3500.0,0.07482570584865417,0.02607855254171345,0.13993313679634056
5.0,91.42857142857143,75.0,1500.0,0.16629890764079638,0.07610404012120209,0.20356449279727257
5.0,91.42857142857143,75.0,2000.0,0.1261774685752641,0.08354268893407389,0.1784252822001141
5.0,91.42857142857143,75.0,2500.0,0.10177063428080242,0.04262226235308599,0.16091591969114147
5.0,91.42857142857143,75.0,3000.0,0.08533116472953305,0.05571602211701495,0.14779456857102105
5.0,91.42857142857143,75.0,3500.0,0.07349591421227847,0.030857683701617164,0.13740556228204726
5.0,91.42857142857143,97.5,1500.0,0.1620483045433829,0.08199962809000037,0.1981980606317541
5.0,91.42857142857143,97.5,2000.0,0.12334455584312076,0.07799952080047351,0.17428747631805044
5.0,91.42857142857143,97.5,2500.0,0.09970263507806938,0.04696220770030675,0.15758185465110977
5.0,91.42857142857143,97.5,3000.0,0.08373100156580565,0.05203731874695795,0.14497749745408856
5.0,91.42857142857143,97.5,3500.0,0.07221338894754913,0.033898621397749566,0.13501529114622404
5.0,91.42857142857143,120.0,1500.0,0.15801851714796628,0.08566605351910819,0.19316700042122695
5.0,91.42857142857143,120.0,2000.0,0.12064281710763544,0.07446202962977909,0.17039064117182992
5.0,91.42857142857143,120.0,2500.0,0.09772083788175401,0.0497454687155609,0.1543453468765939
5.0,91.42857142857143,120.0,3000.0,0.08219103226735484,0.049686949543644006,0.14223674773792286
5.0,91.42857142857143,120.0,3500.0,0.07097596353933572,0.0358223120593481,0.13268425380543883
5.0,105.71428571428572,30.0,1500.0,0.15181224687515862,0.044737433072591676,0.18592259697590116
5.0,105.71428571428572,30.0,2000.0,0.11440862040514031,0.09152891170147788,0.16184115673545876
5.0,105.71428571428572,30.0,2500.0,0.09183614913377616,0.021849735379991207,0.14520475868380778
5.0,105.71428571428572,30.0,3000.0,0.0767346713244173,0.060963138220248535,0.13290284974676492
5.0,105.71428571428572,30.0,3500.0,0.06590720722891638,0.01604294526338467,0.12330670454567373
5.0,105.71428571428572,52.5,1500.0,0.14770785137401507,0.057672354132969,0.18089453152347712
5.0,105.71428571428572,52.5,2000.0,0.11170408299610216,0.07976153661668778,0.15801395151780512
5.0,105.71428571428572,52.5,2500.0,0.0898852960142259,0.03100545437641396,0.1421418726484395
5.0,105.71428571428572,52.5,3000.0,0.0752385729750293,0.05316434295912357,0.1303271670441946
5.0,105.71428571428572,52.5,3500.0,0.06471418961001743,0.022552438997958647,0.12102323791437031
5.0,105.71428571428572,75.0,1500.0,0.14382577208663366,0.06581917087958636,0.1760561518185592
5.0,105.71428571428572,75.0,2000.0,0.1091263881825443,0.07225313507995804,0.15431377078367473
5.0,105.71428571428572,75.0,2500.0,0.08801782842216838,0.0368625079595916,0.13917043634684723
5.0,105.71428571428572,75.0,3000.0,0.07380000750260587,0.04818631171982876,0.12782225120694435
5.0,105.71428571428572,75.0,3500.0,0.06356411436271527,0.02668742279454657,0.11883716926216166
5.0,105.71428571428572,97.5,1500.0,0.14014949085429326,0.07091809449898474,0.17141494779406408
5.0,105.71428571428572,97.5,2000.0,0.106676143844248,0.06745912524567499,0.1507352033497958
5.0,105.71428571428572,97.5,2500.0,0.08622924710596165,0.04061880833041179,0.13628686277405352
5.0,105.71428571428572,97.5,3000.0,0.07241611110307195,0.045005358190341085,0.12538578137989045
5.0,105.71428571428572,97.5,3500.0,0.06245493200653213,0.029317491162706887,0.11676983250858373
